99501,Anchorage,Anchorage,
99502,Anchorage,Anchorage,
99503,Anchorage,Anchorage,
99504,Anchorage,Anchorage,
99505,Jber,Anchorage,
99506,Jber,Anchorage,
99507,Anchorage,Anchorage,
99508,Anchorage,Anchorage,
99509,Anchorage,Anchorage,
99510,Anchorage,Anchorage,
99511,Anchorage,Anchorage,
99513,Anchorage,Anchorage,
99514,Anchorage,Anchorage,
99515,Anchorage,Anchorage,
99516,Anchorage,Anchorage,
99517,Anchorage,Anchorage,
99518,Anchorage,Anchorage,
99519,Anchorage,Anchorage,
99520,Anchorage,Anchorage,
99521,Anchorage,Anchorage,
99522,Anchorage,Anchorage,
99523,Anchorage,Anchorage,
99524,Anchorage,Anchorage,
99529,Anchorage,Anchorage,
99530,Anchorage,Anchorage,
99540,Indian,Anchorage,
99545,Kongiganak,Bethel,
99546,Adak,Aleutians West,
99547,Atka,Aleutians West,
99548,Chignik Lake,Lake And Peninsula,
99549,Port Heiden,Lake And Peninsula,
99550,Port Lions,Kodiak Island,
99551,Akiachak,Bethel,
99552,Akiak,Bethel,
99553,Akutan,Aleutians East,
99554,Alakanuk,Kusilvak,
99555,Aleknagik,Dillingham,
99556,Anchor Point,Kenai Peninsula,
99557,Aniak,Bethel,
99558,Anvik,Yukon Koyukuk,
99559,Bethel,Bethel,
99561,Chefornak,Bethel,
99563,Chevak,Kusilvak,
99564,Chignik,Lake And Peninsula,
99565,Chignik Lagoon,Lake And Peninsula,
99566,Chitina,Valdez Cordova,
99567,Chugiak,Anchorage,
99568,Clam Gulch,Kenai Peninsula,
99569,Clarks Point,Dillingham,
99571,Cold Bay,Aleutians East,
99572,Cooper Landing,Kenai Peninsula,
99573,Copper Center,Valdez Cordova,
99574,Cordova,Valdez Cordova,
99575,Crooked Creek,Bethel,
99576,Dillingham,Dillingham,
99577,Eagle River,Anchorage,
99578,Eek,Bethel,
99579,Egegik,Lake And Peninsula,
99580,Ekwok,Dillingham,
99581,Emmonak,Kusilvak,
99583,False Pass,Aleutians East,
99585,Marshall,Kusilvak,
99586,Gakona,Valdez Cordova,
99587,Girdwood,Anchorage,
99588,Glennallen,Valdez Cordova,
99589,Goodnews Bay,Bethel,
99590,Grayling,Yukon Koyukuk,
99591,Saint George Island,Aleutians West,
99599,Anchorage,Anchorage,
99602,Holy Cross,Yukon Koyukuk,
99603,Homer,Kenai Peninsula,
99604,Hooper Bay,Kusilvak,
99605,Hope,Kenai Peninsula,
99606,Iliamna,Lake And Peninsula,
99607,Kalskag,Bethel,
99608,Karluk,Kodiak Island,
99609,Kasigluk,Bethel,
99610,Kasilof,Kenai Peninsula,
99611,Kenai,Kenai Peninsula,
99612,King Cove,Aleutians East,
99613,King Salmon,Bristol Bay,
99614,Kipnuk,Bethel,
99615,Kodiak,Kodiak Island,
99619,Kodiak,Kodiak Island,
99620,Kotlik,Kusilvak,
99621,Kwethluk,Bethel,
99622,Kwigillingok,Bethel,
99623,Wasilla,Matanuska Susitna,
99624,Larsen Bay,Kodiak Island,
99625,Levelock,Lake And Peninsula,
99626,Lower Kalskag,Bethel,
99627,Mc Grath,Yukon Koyukuk,
99628,Manokotak,Dillingham,
99629,Wasilla,Matanuska Susitna,
99630,Mekoryuk,Bethel,
99631,Moose Pass,Kenai Peninsula,
99632,Mountain Village,Kusilvak,
99633,Naknek,Bristol Bay,
99634,Napakiak,Bethel,
99635,Nikiski,Kenai Peninsula,
99636,New Stuyahok,Dillingham,
99637,Toksook Bay,Bethel,
99638,Nikolski,Aleutians West,
99639,Ninilchik,Kenai Peninsula,
99640,Nondalton,Lake And Peninsula,
99641,Nunapitchuk,Bethel,
99643,Old Harbor,Kodiak Island,
99644,Ouzinkie,Kodiak Island,
99645,Palmer,Matanuska Susitna,
99647,Pedro Bay,Lake And Peninsula,
99648,Perryville,Lake And Peninsula,
99649,Pilot Point,Lake And Peninsula,
99650,Pilot Station,Kusilvak,
99651,Platinum,Bethel,
99652,Big Lake,Matanuska Susitna,
99653,Port Alsworth,Lake And Peninsula,
99654,Wasilla,Matanuska Susitna,
99655,Quinhagak,Bethel,
99656,Red Devil,Bethel,
99657,Russian Mission,Kusilvak,
99658,Saint Marys,Kusilvak,
99659,Saint Michael,Nome,
99660,Saint Paul Island,Aleutians West,
99661,Sand Point,Aleutians East,
99662,Scammon Bay,Kusilvak,
99663,Seldovia,Kenai Peninsula,
99664,Seward,Kenai Peninsula,
99665,Shageluk,Yukon Koyukuk,
99666,Nunam Iqua,Kusilvak,
99667,Skwentna,Matanuska Susitna,
99668,Sleetmute,Bethel,
99669,Soldotna,Kenai Peninsula,
99670,South Naknek,Bristol Bay,
99671,Stebbins,Nome,
99672,Sterling,Kenai Peninsula,
99674,Sutton,Matanuska Susitna,
99675,Takotna,Yukon Koyukuk,
99676,Talkeetna,Matanuska Susitna,
99677,Tatitlek,Valdez Cordova,
99678,Togiak,Dillingham,
99679,Tuluksak,Bethel,
99680,Tuntutuliak,Bethel,
99681,Tununak,Bethel,
99682,Tyonek,Kenai Peninsula,
99683,Trapper Creek,Matanuska Susitna,
99684,Unalakleet,Nome,
99685,Unalaska,Aleutians West,
99686,Valdez,Valdez Cordova,
99687,Wasilla,Matanuska Susitna,
99688,Willow,Matanuska Susitna,
99689,Yakutat,Yakutat,
99690,Nightmute,Bethel,
99691,Nikolai,Yukon Koyukuk,
99692,Dutch Harbor,Aleutians West,
99693,Whittier,Valdez Cordova,
99694,Houston,Matanuska Susitna,
99695,Anchorage,Anchorage,
99697,Kodiak,Kodiak Island,
99701,Fairbanks,Fairbanks North Star,
99702,Eielson AFB,Fairbanks North Star,
99703,Fort Wainwright,Fairbanks North Star,
99704,Clear,Denali,
99705,North Pole,Fairbanks North Star,
99706,Fairbanks,Fairbanks North Star,
99707,Fairbanks,Fairbanks North Star,
99708,Fairbanks,Fairbanks North Star,
99709,Fairbanks,Fairbanks North Star,
99710,Fairbanks,Fairbanks North Star,
99711,Fairbanks,Fairbanks North Star,
99712,Fairbanks,Fairbanks North Star,
99714,Salcha,Fairbanks North Star,
99716,Two Rivers,Fairbanks North Star,
99720,Allakaket,Yukon Koyukuk,
99721,Anaktuvuk Pass,North Slope,
99722,Arctic Village,Yukon Koyukuk,
99723,Barrow,North Slope,
99724,Beaver,Yukon Koyukuk,
99725,Ester,Fairbanks North Star,
99726,Bettles Field,Yukon Koyukuk,
99727,Buckland,Northwest Arctic,
99729,Cantwell,Denali,
99730,Central,Yukon Koyukuk,
99731,Fort Greely,Southeast Fairbanks,
99732,Chicken,Southeast Fairbanks,
99733,Circle,Yukon Koyukuk,
99734,Prudhoe Bay,North Slope,
99736,Deering,Northwest Arctic,
99737,Delta Junction,Southeast Fairbanks,
99738,Eagle,Southeast Fairbanks,
99739,Elim,Nome,
99740,Fort Yukon,Yukon Koyukuk,
99741,Galena,Yukon Koyukuk,
99742,Gambell,Nome,
99743,Healy,Denali,
99744,Anderson,Denali,
99745,Hughes,Yukon Koyukuk,
99746,Huslia,Yukon Koyukuk,
99747,Kaktovik,North Slope,
99748,Kaltag,Yukon Koyukuk,
99749,Kiana,Northwest Arctic,
99750,Kivalina,Northwest Arctic,
99751,Kobuk,Northwest Arctic,
99752,Kotzebue,Northwest Arctic,
99753,Koyuk,Nome,
99754,Koyukuk,Yukon Koyukuk,
99755,Denali National Park,Denali,
99756,Manley Hot Springs,Yukon Koyukuk,
99757,Lake Minchumina,Yukon Koyukuk,
99758,Minto,Yukon Koyukuk,
99759,Point Lay,North Slope,
99760,Nenana,Yukon Koyukuk,
99761,Noatak,Northwest Arctic,
99762,Nome,Nome,
99763,Noorvik,Northwest Arctic,
99764,Northway,Southeast Fairbanks,
99765,Nulato,Yukon Koyukuk,
99766,Point Hope,North Slope,
99767,Rampart,Yukon Koyukuk,
99768,Ruby,Yukon Koyukuk,
99769,Savoonga,Nome,
99770,Selawik,Northwest Arctic,
99771,Shaktoolik,Nome,
99772,Shishmaref,Nome,
99773,Shungnak,Northwest Arctic,
99774,Stevens Village,Yukon Koyukuk,
99775,Fairbanks,Fairbanks North Star,
99776,Tanacross,Southeast Fairbanks,
99777,Tanana,Yukon Koyukuk,
99778,Teller,Nome,
99780,Tok,Southeast Fairbanks,
99781,Venetie,Yukon Koyukuk,
99782,Wainwright,North Slope,
99783,Wales,Nome,
99784,White Mountain,Nome,
99785,Brevig Mission,Nome,
99786,Ambler,Northwest Arctic,
99788,Chalkyitsik,Yukon Koyukuk,
99789,Nuiqsut,North Slope,
99790,Fairbanks,Fairbanks North Star,
99791,Atqasuk,North Slope,
99801,Juneau,Juneau,
99802,Juneau,Juneau,
99803,Juneau,Juneau,
99811,Juneau,Juneau,
99812,Juneau,Juneau,
99820,Angoon,Hoonah Angoon,
99821,Auke Bay,Juneau,
99824,Douglas,Juneau,
99825,Elfin Cove,Hoonah Angoon,
99826,Gustavus,Hoonah Angoon,
99827,Haines,Haines,
99829,Hoonah,Hoonah Angoon,
99830,Kake,Petersburg,
99832,Pelican,Hoonah Angoon,
99833,Petersburg,Petersburg,
99835,Sitka,Sitka,
99836,Port Alexander,Sitka,
99840,Skagway,Skagway,
99841,Tenakee Springs,Hoonah Angoon,
99850,Juneau,Juneau,
99901,Ketchikan,Ketchikan Gateway,
99903,Meyers Chuck,Wrangell,
99918,Coffman Cove,Prince Of Wales Hyder,
99919,Thorne Bay,Prince Of Wales Hyder,
99921,Craig,Prince Of Wales Hyder,
99922,Hydaburg,Prince Of Wales Hyder,
99923,Hyder,Prince Of Wales Hyder,
99925,Klawock,Prince Of Wales Hyder,
99926,Metlakatla,Prince Of Wales Hyder,
99927,Point Baker,Prince Of Wales Hyder,
99928,Ward Cove,Ketchikan Gateway,
99929,Wrangell,Wrangell,
99950,Ketchikan,Ketchikan Gateway,
